"","X","date","time","pop","eggs","date_time","pop_type","date_time_pop"
"249",189,"2022-02-13","overnight","rap4",173,"2022-02-13_am","anc","2022-02-13_am_rap4"
"250",190,"2022-02-13","overnight","rap5",111,"2022-02-13_am","anc","2022-02-13_am_rap5"
"251",191,"2022-02-13","daytime","evo1",147,"2022-02-13_pm","evo","2022-02-13_pm_evo1"
"252",192,"2022-02-13","daytime","evo2",60,"2022-02-13_pm","evo","2022-02-13_pm_evo2"
"253",193,"2022-02-13","daytime","evo3",90,"2022-02-13_pm","evo","2022-02-13_pm_evo3"
"254",194,"2022-02-13","daytime","evo4",48,"2022-02-13_pm","evo","2022-02-13_pm_evo4"
"255",195,"2022-02-13","daytime","evo5",68,"2022-02-13_pm","evo","2022-02-13_pm_evo5"
"256",196,"2022-02-13","daytime","rap1",38,"2022-02-13_pm","anc","2022-02-13_pm_rap1"
"257",197,"2022-02-13","daytime","rap2",47,"2022-02-13_pm","anc","2022-02-13_pm_rap2"
"258",198,"2022-02-13","daytime","rap3",28,"2022-02-13_pm","anc","2022-02-13_pm_rap3"
"259",199,"2022-02-13","daytime","rap4",37,"2022-02-13_pm","anc","2022-02-13_pm_rap4"
"260",200,"2022-02-13","daytime","rap5",35,"2022-02-13_pm","anc","2022-02-13_pm_rap5"
"261",201,"2022-02-14","overnight","evo1",74,"2022-02-14_am","evo","2022-02-14_am_evo1"
"262",202,"2022-02-14","overnight","evo2",95,"2022-02-14_am","evo","2022-02-14_am_evo2"
"263",203,"2022-02-14","overnight","evo3",90,"2022-02-14_am","evo","2022-02-14_am_evo3"
"264",204,"2022-02-14","overnight","evo4",112,"2022-02-14_am","evo","2022-02-14_am_evo4"
"265",205,"2022-02-14","overnight","evo5",88,"2022-02-14_am","evo","2022-02-14_am_evo5"
"266",206,"2022-02-14","overnight","rap1",157,"2022-02-14_am","anc","2022-02-14_am_rap1"
"267",207,"2022-02-14","overnight","rap2",155,"2022-02-14_am","anc","2022-02-14_am_rap2"
"268",208,"2022-02-14","overnight","rap3",127,"2022-02-14_am","anc","2022-02-14_am_rap3"
"269",209,"2022-02-14","overnight","rap4",145,"2022-02-14_am","anc","2022-02-14_am_rap4"
